VO_DALA_BOSS_99h_Male_Human_General_01	С возвращением! Как оно там, все в порядке?
VO_DALA_BOSS_99h_Male_Human_General_02	У меня новые рекруты, выбирай!	
VO_DALA_BOSS_99h_Male_Human_General_03	Сражение в самом разгаре!	
VO_DALA_BOSS_99h_Male_Human_HeroSelection_01	Твои существа будут драться сами, но им нужен хороший командир.	
VO_DALA_BOSS_99h_Male_Human_Hire_01	Не стесняйся, найми кого-нибудь.	
VO_DALA_BOSS_99h_Male_Human_Hire_02	Лучше найми кого-нибудь, пока можешь.	
VO_DALA_BOSS_99h_Male_Human_Idle_01	Нелегкий выбор.	
VO_DALA_BOSS_99h_Male_Human_Idle_02	Трать золото с умом. Но все-таки трать!	
VO_DALA_BOSS_99h_Male_Human_Idle_03	Видеть тебя за работой — одно удовольствие!	
VO_DALA_BOSS_99h_Male_Human_Idle_04	Мне нравится твоя стратегия.	
VO_DALA_BOSS_99h_Male_Human_Idle_05	Интересный подход, мне нравится.	
VO_DALA_BOSS_99h_Male_Human_ModeSelect_01	Добро пожаловать на поля сражений! Восемь командиров выставят свои армии, но только один уйдет с короной!	
VO_DALA_BOSS_99h_Male_Human_NewGame_01	Ну что, какой план на этот раз?	
VO_DALA_BOSS_99h_Male_Human_NewGame_02	Семь новых оппонентов. Начнем?	
VO_DALA_BOSS_99h_Male_Human_NewGame_03	Мой любимый командир снова в игре! Можно начинать?	
VO_DALA_BOSS_99h_Male_Human_NewModeLaunch_01	Поля сражений ждут! Я думаю, у тебя хорошие шансы на победу.	
VO_DALA_BOSS_99h_Male_Human_NewModeLaunchalt_01	Поля сражений уже открыты!	
VO_DALA_BOSS_99h_Male_Human_RecruitLargeMinion_01	Кому-то не поздоровится!	
VO_DALA_BOSS_99h_Male_Human_RecruitLargeMinion_02	Могучую ты собираешь армию!	
VO_DALA_BOSS_99h_Male_Human_RecruitLargeMinion_03	Я всегда говорил: чем больше, тем веселее!	
VO_DALA_BOSS_99h_Male_Human_RecruitMediumMinion_01	Я бы сделал такой же выбор.	
VO_DALA_BOSS_99h_Male_Human_RecruitMediumMinion_02	Выбор опытного командира!	
VO_DALA_BOSS_99h_Male_Human_RecruitMediumMinion_03	Мне нравится ход твоих мыслей.	
VO_DALA_BOSS_99h_Male_Human_RecruitSmallMinion_01	Не самое сильное существо, но что сможет — сделает.	
VO_DALA_BOSS_99h_Male_Human_RecruitSmallMinion_02	Хорошо, когда есть, что разыграть.	
VO_DALA_BOSS_99h_Male_Human_RecruitSmallMinion_03b	Может, это существо решит исход сражения. 	
VO_DALA_BOSS_99h_Male_Human_RecruitWork_01	А теперь пусть поработает как следует.	
VO_DALA_BOSS_99h_Male_Human_ShopFirstTime_01	Здесь ты можешь набирать бойцов в свою армию. Выбирай с умом!	
VO_DALA_BOSS_99h_Male_Human_ShopToCombat_01	Удачи в сражениях!	
VO_DALA_BOSS_99h_Male_Human_ShopToCombat_02	Никому не говори, но я болею за тебя.	
VO_DALA_BOSS_99h_Male_Human_ShopUpgrade_01	Можешь улучшить таверну, чтобы привлечь существ помощнее.	
VO_DALA_BOSS_99h_Male_Human_Triple_01	Наймешь это существо — и будет триплет.	
VO_DALA_BOSS_99h_Male_Human_Triple_02	О, похоже на триплет!	
VO_DALA_BOSS_99h_Male_Human_Triple_03	Эй, это же триплет! Держи награду. 	
VO_DALA_BOSS_99h_Male_Human_UpgradeShop_01	Советую улучшить таверну. Иначе соперники тебя обойдут!	
